id,aoi,color_coding,mean_pupil_size
22,Text,TRUE,3.731463284646
35,Text,TRUE,4.7046287661406
37,Text,TRUE,3.27126766356949
10,Text,TRUE,2.59837045470718
19,Text,FALSE,3.9091095308312
NA,Text,FALSE,4.72569614785332
18,Text,TRUE,3.10434586804774
7,Text,TRUE,3.63491638599226
4,Text,FALSE,3.59611940533808
34,Text,FALSE,3.8159445407279
39,Text,FALSE,4.03216444791248
44,Text,TRUE,3.64113499570077
13,Text,FALSE,3.55902092987504
8,Text,FALSE,3.7380723830735
33,Text,TRUE,3.70279178713904
43,Text,FALSE,4.3685144785665
45,Text,FALSE,3.92237710272742
24,Text,TRUE,3.67499411428379
51,Text,FALSE,4.67477525075329
38,Text,TRUE,3.27010664459107
3,Text,TRUE,3.11913870991037
9,Text,TRUE,3.93392473436237
31,Text,TRUE,3.55186012379555
